"","DATEPRD","WELL_BORE_CODE","ON_STREAM_HRS","AVG_DOWNHOLE_PRESSURE","AVG_DOWNHOLE_TEMPERATURE","AVG_DP_TUBING","AVG_ANNULUS_PRESS","AVG_CHOKE_SIZE_P","AVG_WHP_P","AVG_WHT_P","DP_CHOKE_SIZE","BORE_OIL_VOL","class","WI1","WI2"
"2152",2011-09-10,"NO 15/9-F-12 H",24,249.307211580527,103.731548517743,207.889673900085,22.0010702083333,70.2454358333333,38.8206497916667,91.58655375,7.70512583333333,1108.09,6,5975,6179
"2153",2011-09-11,"NO 15/9-F-14 H",24,244.995418333333,103.279596666667,204.720884791667,21.1888410878029,66.1288510416667,40.2745335416667,88.2223270833333,9.71755104166667,1700.34,4,6086.08842416667,6071.04578395833
"2154",2011-09-11,"NO 15/9-F-12 H",24,248.185465849895,103.769880498137,206.993417612374,21.848110625,70.2615979166667,39.1215925,90.9553002083333,8.02740770833333,1104.05,3,6086.08842416667,6071.04578395833
"2155",2011-09-12,"NO 15/9-F-12 H",24,247.431239434133,103.620725590918,206.124388339031,21.7422175,70.2637010416667,39.1379485416667,90.1421995833333,8.022170625,1104.51,7,5984,6052
"2156",2011-09-12,"NO 15/9-F-14 H",24,244.7667425,103.279230416667,204.788850833333,21.2122392027009,67.6425895833333,39.9778916666667,87.6203004166667,9.397265,1709.93,8,5984,6052
"2157",2011-09-13,"NO 15/9-F-12 H",11,246.042751452241,104.474766943545,199.858177747728,18.9264159806261,66.3920094444444,38.1238208767221,90.5938175541928,7.21185312375791,337.37,3,4466.59542178571,5980.18474464286
"2158",2011-09-13,"NO 15/9-F-14 H",12,252.27442781548,103.119125538453,206.496746459251,16.875199914407,54.2028432258065,45.7776813562295,82.4790370694645,13.6392985217412,944.17,2,4466.59542178571,5980.18474464286
"2159",2011-09-14,"NO 15/9-F-14 H",24,244.751477916667,103.275374166667,205.391503958333,20.2256752924884,70.1588920833333,39.3599739583333,89.9204302083333,8.80556645833333,1567.69,10,1357.67990571429,7680.10109880952
"2160",2011-09-14,"NO 15/9-F-12 H",24,243.628486213057,103.973836993464,206.679486250884,21.7588770833333,80.8611727083333,36.4147425,91.5520204166667,5.33105270833333,1064.91,1,1357.67990571429,7680.10109880952
"2161",2011-09-15,"NO 15/9-F-12 H",24,244.496421472165,103.990138720476,207.378790901077,21.9880475,82.020145625,36.570914375,91.6045858333333,5.50601770833333,1086.43,3,3694.53483145833,8432.89306645833
"2162",2011-09-15,"NO 15/9-F-14 H",24,243.693232291667,103.257125833333,204.407776666667,19.3806936236705,71.73619875,39.285455625,89.510331875,8.73527541666667,1611.04,7,3694.53483145833,8432.89306645833
"2163",2011-09-16,"NO 15/9-F-12 H",24,244.830292989904,104.087752003936,207.503742640641,21.9994954166667,82.05558,36.6481979166667,91.7981627083333,5.59383645833333,965.79,2,6080.83048979167,4236.8660596
"2164",2011-09-16,"NO 15/9-F-14 H",24,243.390124375,103.253981458333,204.34360625,19.1238702861861,74.13533625,39.046518125,89.4265947916667,8.512158125,1731.83,10,6080.83048979167,4236.8660596
"2165",2011-09-17,"NO 15/9-F-14 H",24,242.737544375,103.24380875,204.055083333333,18.7838728200873,76.1549054166667,38.6824610416667,87.663123125,8.16187604166667,1748.28,10,6214,4762
"2166",2011-09-17,"NO 15/9-F-12 H",24,242.48520586543,103.459671876627,204.969145781564,21.4924141666667,80.776230625,37.1539841666667,89.8293791666667,6.13211979166667,955.41,6,6214,4762
"2167",2011-09-18,"NO 15/9-F-12 H",24,242.10242719686,103.289405937878,204.454563674214,21.39114,80.30645,37.19012,89.47202,6.19497,956.69,8,6219,7750
"2168",2011-09-18,"NO 15/9-F-14 H",24,242.70645,103.2426,204.03912,18.8881905964814,76.30241,38.66733,88.14867,8.1466,1754.97,4,6219,7750
"2169",2011-09-19,"NO 15/9-F-14 H",24,242.70645,103.2426,204.03912,18.8881905964814,76.30241,38.66733,88.14867,8.1466,1765.28,2,6299,8012
